
Boahji	pole-star
básár	bazaar
bátneluš	jawbone (of reindeer or farm animal)
bátneolmmoš	one who has good teeth
bátnesoallun	toothpick
bátnešiella	present which had to be given (formerly) by the person who discovered the child’s first tooth
bátnálastit	get something stuck in the teeth (of animals)
báttadit	swell more and more or several times
báttas	accidental damming; swollen on account of accidental damming
báttastit	dimin. of badˈdât
báttástit	use a rope for something
bávgoš	Aegialitis hiaticula
bávtat	force its way up on to the ice (of water in fall or rapid)
bávččagit	begin to be painful (also fig.); hurt oneself
bávččas	pain; painful (of a limb etc.)
bávččastit	be painful; have pain in
bázahas	remnant
bázahit	leave (over)
bázestit	be slightly behind
bázestuvvat	wish to be behind; be unable to keep up with the others
bázihahttit	cause someone or something to stay behind
bázihit	induce to stay behind; allow to stay behind
bázistit	be a little behind; be a little left
báđa	colour on a reindeer antler
báđar	refugee
báđašit	dimin.-contin. and dimin.-freq. of bađđet
báđoš	one who constantly makes himself dirty with ash
báđva	grained birchwood
báđđat	get its antlers a brownish colour
báđđálas	liable to make oneself or something one is using sooty or black; of which the black comes off
báŋadit	contin. of bāgŋât
báŋku	bank; card-playing for money
báŋádit	moment. of bāgŋât
bážan	firearm; firework; one who often has sudden fancies
bážašit	shoot now and then (a little)
bážehahtti	worth shooting
bážehahttit	be worth shooting
bážestit	shoot little
bážihahttit	cause someone or something to be shot; be worth shooting
bážihit	get someone to shoot; let someone shoot; be able to be shot; be worth shooting
bážistit	shoot a little
bážus	something to shoot
bážáhat	spring-gun
cadjat	jostle or push aside (people) in order to get on; push something aside
cagan	Haematopus ostralegus (oyster-catcher)
caggi	support
cahkat	smoulder; still be (just) alive; be kept alive (of weak faith)
cahkkehat	something to kindle the fire with
cancut	leap like a hare; run lightly
ceakkagit	begin to stand
ceakkus	upright; steep; steep mountain-side
cealkit	say (in relig. language and in certain expression); order (vehicle); pronounce (absolution); pronounce (judgment); announce (fine); bring or send a message; greet
cearki	oldfashioned silver beaker for spirits
cekkeš	cairn to show the way on a bare mountain
cieban	one who gnaws
cieggaleastit	dimin. of ciegˈgât (= cieggâstit)
ciekkadit	contin. of ciegˈgât
cievan	aftermath
cihca	a small species of gnat
cihca	tan-liquor for tanning fishing nets etc.
cihcet	a small species of gnat (= ciccâ 2)
cihcit	tan (fishing nets etc.)
cihppa	penis (only of human p.)
cillat	(ei LpDict)
cimput	leap like a hare
cincu	cunnus (= cinˈna)
cinná	cunnus
cirkkas	which has the tip tilted up (of nose); who has a turned-up nose
ciskkihit	suddenly get a sharp pain (eye)
ciskut	feel a sharp pain (subj.: the eye)
cissá	penis of a child (or as a polite term for penis of adult)
civkkihit	suddenly go out
civnna	which has a smell of burnt hair or cloth
civnniidit	smell like burnt hair or cloth
civzza	which has an unpleasant bitter taste or smell (as of chyme)
civzziidit	taste or smell of chyme
cizopaš	a kind of small bird
cizot	a small species of gnat (= ciccâ 2)
coabmasit	get cracked (of a bent branch); turn up (of the edge of a kofte)
coagan	shallow place in a river
coagostit	dimin. of coakkot
coahki	low water in river or sea; which has a lower or the lowest water level
coggalit	subit. of cogˈgât
cohki	the actual muscle of the heart
cohpis	name of a (stupid) dog; also used as a term of abuse
cohppi	(ei LpDict)
cohppi	tuft of hair
cokkaldat	loose sole in a Lapp brogue
collas	foolish and frivolous
covdnalit	subit. of cowˈdnât
covdnat	awaken someone by touching him
covdnašuvvat	be awakened (unintentionally)
cuhllat	mumble in a mysterious way
cuhpat	(ei LpDict)
cuilit	go very fast (of boat)
cuilut	be rocked up and down (like a boat on the waves)
cuiláhit	be swaying; run very fast
cuipi	something with a tall upright point; something which is very pointed (e.g. a pointed cap)
cuippas	with a tall upright point; very pointed
cukca	fairy-tale (= cuvcâs)
cukcet	tell fairytales
culláhit	lull (a child)
culpi	(tied-up) tuft of hair on the head
cumme	Kuss
cummistit	kiss
cummá	kiss
cumpi	(tied-up) tuft of hair on the head (= culˈpe)
cuohkki	(real) reason; excuse
cuohppa	the muscles of fish
cuokca	ice-bridge or snow-bridge over a river; narrow strip of ice between two lanes; narrow strip of ground on a bog
cuokŋut	walk or run on (snow-)crust
cuoppu	Rana (frog); Bufo (toad)
cuozza	membrane
cuozzut	be covered with a film (of a diseased eye)
cuoŋosmánnu	old name for a month (the fifth)
cuoŋu	strong crust on snow
curbmi	thing with a small opening (e.g. a bag); one who has pursed lips
curbmát	have pursed lips
curpmas	which has a small opening (e.g. of a bag); pursed (of lips); who has pursed lips
curre	twin (only of human twins)
cuskit	blow air out through the nostrils (also of animals); say 'hm' (often denoting surprise)
cuskkas	a loud blowing of air through the nostrils
cuskkihit	mom. of cusˈket
cuvccas	fairy-tale
cuvistit	(ei LpDict)
cuvkkas	clicking with the tongue
cuvkkihit	caus. of cuwˈket
cuvkkihit	mom. of cuwˈket (= cuwkadit)
cuvkkodit	contin. of cuowˈkot
cuvzat	nag
cuŋkalit	(ei LpDict)
cuš	call used to get the reindeer herd to follow
cábadit	contin. of cāppât
cábahas	a little bit cut off
cábastit	dimin. of cāppât
cábminráŋggáštus	(punishment of) flogging
cábmáladdat	give some good blows
cápmahahttit	caus. of cabmatâdˈdât
cápmašit	dimin.-contin. and dimin.-freq. of cabˈmet
dabbil	on or along that side (of)
dadjamuš	(the) having to say; something to say
dadnet	tin
dagaldahttit	hastily get someone to do
dagolaš	in debt (money)
daguhit	modestly ask to
dahje	or
dahkalas	lewd (of a man)
dahkkot	shorter passive of dâkkât
dahpahat	constipation
dahppot	pass. of dâpˈpât; get constipated
daiggo	somewhere there
dainnago	because
dakkaviđe	(then) at once
dalggodit	become dâlˈgâd
dallánaga	(then) at once
dalánaga	(then) at once
danin	therefore
danne	therefore
dannego	because
dappil	in or from that part or those parts
daran	one whose habit it is to dârrât
dardi	ledge on a hill or (esp.) on the sandy bank of a river or steep shore of a lake
darihit	suddenly dârrât once
dasttá	immediately
datni	pewter
davkalas	not quite honest
davkkadit	contin. of dâwˈkât
davkkastit	dâwˈkât a little or once or a single thing
davkkildit	filch
davrragit	become dâwrâs
davrrihit	curl suddenly
davá-	north-
davádat	north wind
daŋastit	tear up heath-plants
deabbut	become softer from moisture
deaddil	heavy in proportion to the amount
deadnjasit	slip in such a way that the feet splay out to the sides
deahkas	made soft by wind-driven snow (of winter road)
deahkka	deck (of boat or ship)
deaivil	good at hitting; good at finding the way
deaivvadeapmi	meeting (with each other)
deajihit	suddenly dæggjot
dealli	wooden roller upon which a river boat is drawn up on to the beach; rough bridge over a river
dealljá	Phoca groenlandica (Greenland seal)
deamihit	boom suddenly
deappu	Fucus and other brown sea-weeds on the beach
dearbmebeškkoš	Clivicola riparia (sand-martin) (= dērbmuš)
dearbmebeštor	Clivicola riparia (sand-martin) (= dērbmuš)
deardna	boiled beestings
dearggas	slack-baked (of bread or Lapp cake)
dearistit	put dǣres on an article of clothing; steel
dearpamassii	oaǯˈǯot dærˈpâmâssii: get hammered
dearvva	how do you do?
dearvvahit	greet
deattáldat	seam with one or two threads placed lengthwise before overcasting; ordinary machine-stitched seam on the trimmings of the kofte
deavdalit	be filling; try to fill
deavdda	filling (something used for filling)
deavddašit	dimin.-freq. and dimin.-contin. of dæwˈdet
deavdilit	subit. of dæwˈdet
deavut	a species of seal
deađvut	knock (part of the body) in such a way that the skin gets a bruise with blood in it; pull something to pieces with an implement which is illsuited for the purpose; just succeed in killing (of an unskilful hunter or fisherman)
deašahit	caus. of dǣššât; go somewhere quickly
deaškkastit	slap or stick once
deaškkihit	fall with a flop
deaškkuhit	cause to dæšˈkot; (several times) throw something which sticks
deašášit	consider to be (too) dæšše
deašša	flat stone with which one can play ducks and drakes
deaššastit	play ducks and drakes
deaššat	glide over the water
deaŧalaš	important
deives	good at hitting
dekčolas	apt to crush
delodit	contin. of dællot
dennet	draw
deppodit	contin. of dæbˈbot
derpmoš	Clivicola riparia (sand-martin)
devdojupmi	(the) getting full; fulfilment
devdot	shorter pass. of dæwˈdet; get the boat one is sailing or punting swamped
devččodit	contin. of dækˈčot
deškkodit	contin. of dæšˈkot
deššet	play ducks and drakes (= dǣššâstit)
didnu	flint
die	there (nearer the person addressed than the speaker)
diebbelii	(to) nearer to you or to your home (than)
diebbeliidda	(to) rather nearer to you or your home
diebbánit	come nearer to there (where you are or live)
diehpagit	become dieppâs
diehppiluvvat	become dieppâs (= dieppâgit)
diehttevassii	(become) publicly known
dieiggas	whitish (of eye with a certain disease)
dieigi	disease of the eye which makes it whitish
dieigut	appear whitish (= dieiˈgât)
dielku	spot; bull's-eye (of target)
dielli	which is apt to diellât
dielvvis	quite flat and level (of ground)
dieppe	there (nearer the person addressed than the speaker); from there (from nearer the person addressed than the speaker)
dieppidit	take or move nearer to there (where you are or live)
dieppimustá	in or from a place nearest to there (where you are or live)
dieskkar	lining (of thin reindeer skin with the hair on it) in the part of a glove which covers the wrist
dieskkardit	put dieskâr in a glove
diet	that (nearer the person addressed than the speaker)
dietnut	hem (cloth)
dievasmeahttun	incomplete
dievvá	(roundish) hill
diggot	order (goods)
dihkkedit	go on cleansing from lice for a considerable time
dihkket	cleanse from lice
dihkki	louse
dihkká	stake used for marking the way
dihkkádit	mark the way with stakes
dihpat	sink into
dii	you (more than two)
diibmá	last year
diiggodit	contin. of dieiˈgot
diihmi	who finds it difficult to recognize animals or things
diimmážii	up to last year
diksu	Gadus aeglefinus (haddock)
dikta	poem
dildduhit	walk in such a way that one's fat quakes or shakes
dilket	plug (walls of house) with moss or sacking
dillet	sew ornamental ribbon(s) on
dilssášit	think that someone or something is (too) dilˈse
dimaid-dámaid	with a serious face (of someone who is joking or telling something)
dimbbar	log
dimiidit	feel soft
dimistit	feel soft
dimádas	something with which to make a thing softer
dimádat	the kind of going when the snow is too soft to bear
dimášit	think that something is (too) soft
dinodit	be about to hem (cloth)
diraidit	be very much upset (= dirrât)
diret	picklock
dirihit	suddenly appear looking very much upset
dirkat	come a little (chiefly of fish coming into a net or trap)
dirkit	come a little (chiefly of fish coming into a net or trap) (= dirˈkât)
dirrat	be very much upset
dirrehat	picklock (= dirik)
dirri	penis of little boys
dirči	a naked or half-naked person (usually of children)
dirččuhit	run naked or half-naked (esp. of children)
disdat	Tuesday
diska	counter (in a shop)
diva	something with which to repair; something added to milk to make it coagulate
divodit	contin. of divvot
divrasit	dearly (bought)
divri	insect
divriluvvat	become full of insects
divsket	rebuke sternly once
divskkodit	contin. of diwˈskot
divttášit	consider watertight
divuhit	caus. of divvot
divvulit	subit. of divvot; take to a new grazing ground in winter
divššodit	contin. of dikˈšot
diŋgot	order (goods)
diškkanas	(a single) splash
diškkodit	contin. (with dimin. connotation) of dišˈkot
diškkuhit	caus. of dišˈkot
diškkádit	suddenly splash (trans.)
diškut	splash (intr.) several times; splash (trans.) several times
do	(far) over there
doadjalit	break in several pieces or places (or of several subjects); get to begin to break up (when the ice melts in the river)
doadjilit	hurriedly doaggjet
doahkkudit	caus. of doakˈkot
doahttu	feeding-back
doahttu	strand (e. g. in rope)
doai	you (two)
doaimmahuvvat	become doaimâtæbmĕ
doaivvuhisvuohta	discouragement
doaivvuhit	caus. of doaiˈvot
doajihit	caus. of doaggjet; get stuck in the ice when driving
doalka	blunt knife
doalli	which holds well; apt to resist
doalli	winter road or track covered by snow but still distinguishable
doalvi	(striding) trot
doalvu	the one who takes or brings something to some place
doalvái	good at trotting
doamppas	inefficient (at work)
doapma	busyness
doappal	a kind of float
doappal	dense cloud
doarjja	support
